Course_Name,Course_Level,Course_Type,Cource_Description,University_Name,Link
Bachelor of Forensic Science (Honours),Undergraduate,,Extend your prior learning of forensic science to gain a deeper understanding of your chosen field through research exploration within this honours degree.,Deakin University,http://www.deakin.edu.au/course/bachelor-forensic-science-honours
Bachelor of Environmental Science (Honours),Undergraduate,,Extend your learning in environmental science to gain a deeper understanding of your chosen discipline with research exploration in this honours degree.,Deakin University,http://www.deakin.edu.au/course/bachelor-environmental-science-honours
Bachelor of Information Technology (Honours),Undergraduate,,Extend your prior learning in IT to gain a deeper understanding of your chosen discipline through research exploration within this honours degree.,Deakin University,http://www.deakin.edu.au/course/bachelor-information-technology-honours
Bachelor of Science (Honours),Undergraduate,,Extend your prior learning in science to gain a deeper understanding of your chosen discipline through research exploration within this honours degree.,Deakin University,http://www.deakin.edu.au/course/bachelor-science-honours
Bachelor of Medical Imaging,Undergraduate,,"Deakin's Bachelor of Medical Imaging offers training in several techniques from ultrasounds to MRI, preparing undergrads for a career in the medical field.",Deakin University,http://www.deakin.edu.au/course/bachelor-medical-imaging
Bachelor of Commerce/Bachelor of Business Analytics,Undergraduate,,"Deakin's double degrees in Bachelor of Commerce/Bachelor of Business Analytics (previously Bachelor of Commerce/Bachelor of Information Systems) are professionally accredited, giving students an edge in the job market.",Deakin University,http://www.deakin.edu.au/course/bachelor-commerce-bachelor-business-analytics
Bachelor of Environmental Science (Wildlife and Conservation Biology),Undergraduate,,"Learn how to handle native animals, survey wildlife populations and conduct sustainability assessments as a wildlife and conservation biology student.",Deakin University,http://www.deakin.edu.au/course/bachelor-environmental-science-wildlife-and-conservation-biology
"Bachelor of Film, Television and Animation",Undergraduate,,"This undergraduate degree will expose you to cutting-edge technologies, filmmaking and screen-writing while gaining practical experience in screen production.",Deakin University,http://www.deakin.edu.au/course/bachelor-film-television-and-animation
Bachelor of Arts (Honours),Undergraduate,,The Bachelor of Arts (Honours) allows you to design your own course with a chosen specialisation in a field you are passionate about.,Deakin University,http://www.deakin.edu.au/course/bachelor-arts-honours
Bachelor of Arts/Master of Arts (International Relations),Undergraduate,,The Bachelor / Master of Arts (International Relations) aims to produce graduates who can demonstrate high levels of theoretical and empirical analysis.,Deakin University,http://www.deakin.edu.au/course/bachelor-arts-master-arts-international-relations
Bachelor of Civil Engineering (Honours),Undergraduate,,"Learn to inspire the design, construction and management of civil infrastructure in an internationally recognised degree that opens global opportunities.",Deakin University,http://www.deakin.edu.au/course/bachelor-civil-engineering-honours
Bachelor of Construction Management (Honours)/Bachelor of Property and Real Estate,Undergraduate,,"Combine studies in construction management, property and real estate to build the skills required to excel in this fast-paced and growing field.",Deakin University,http://www.deakin.edu.au/course/bachelor-construction-management-honours-bachelor-property-and-real-estate
Bachelor of Design (Architecture),Undergraduate,,"Immerse yourself in our architecture degree to explore innovative real-world projects and learn about architectural ideas, building science and design.",Deakin University,http://www.deakin.edu.au/course/bachelor-design-architecture
Bachelor of Mechatronics Engineering (Honours),Undergraduate,,"Mix electrical, mechanical and robotics engineering into a single degree and you could land a career shaping the innovative robotics systems of the future.",Deakin University,http://www.deakin.edu.au/course/bachelor-mechatronics-engineering-honours
Diploma of Indonesian,Undergraduate,,This undergraduate course will sharpen your language skills and extend your cultural understanding. Apply today and get the opportunity to study abroad.,Deakin University,http://www.deakin.edu.au/course/diploma-indonesian
Bachelor of Arts (Psychology) (Honours),Undergraduate,,The Bachelor of Arts (Psychology) (Honours) prepares you for further postgraduate study and is useful when pursuing a career as a psychologist.,Deakin University,http://www.deakin.edu.au/course/bachelor-arts-psychology-honours
Bachelor of Nursing (Clinical Leadership),Undergraduate,,Gain hands-on skills and develop leadership potential with Deakin's Bachelor of Nursing (Clinical Leadership) - the only course of its kind in Victoria.,Deakin University,http://www.deakin.edu.au/course/bachelor-nursing-clinical-leadership
Diploma of Arabic,Undergraduate,,"Boost your employability, develop your linguistic skills and expand your career and study pathways with a Diploma of Arabic. Enquire and apply today.",Deakin University,http://www.deakin.edu.au/course/diploma-arabic
Bachelor of Arts/Master of Teaching (Secondary),Undergraduate,,Fast-track your studies and gain a postgraduate teaching qualification with Deakin's specialised arts teaching degree.,Deakin University,http://www.deakin.edu.au/course/bachelor-arts-master-teaching-secondary
Bachelor of Nursing/Bachelor of Psychological Science,Undergraduate,,"This undergraduate course encourages you to develop knowledge and understanding in human behaviour. Upon completion, you graduate as a Registered Nurse.",Deakin University,http://www.deakin.edu.au/course/bachelor-nursing-bachelor-psychological-science
Bachelor of Public Health and Health Promotion (Honours),Undergraduate,,Develop your research and investigative skills with a Bachelor of Public Health and Health Promotion (Honours) at Deakin.,Deakin University,http://www.deakin.edu.au/course/bachelor-public-health-and-health-promotion-honours
Bachelor of Science/Master of Teaching (Secondary),Undergraduate,,Fast-track your studies and gain a postgraduate teaching qualification with Deakin's specialised science teaching degree.,Deakin University,http://www.deakin.edu.au/course/bachelor-science-master-teaching-secondary
Bachelor of Sport Development,Undergraduate,,"The Bachelor of Sport Development provides insights into sport development, management and science, allowing you to develop a rewarding career in sport.",Deakin University,http://www.deakin.edu.au/course/bachelor-sport-development
Bachelor of Arts - Advanced (Honours),Undergraduate,,"Choose Deakin's Bachelor of Arts - Advanced (Honours) to gain extensive knowledge in a disciplinary area within social sciences, humanities and the arts.",Deakin University,http://www.deakin.edu.au/course/bachelor-arts-advanced-honours
Bachelor of Creative Arts (Drama),Undergraduate,,"Through Deakin's Bachelor of Creative Arts (Drama), develop your technical skills, learn theatre history and take overseas study tours and internships.",Deakin University,http://www.deakin.edu.au/course/bachelor-creative-arts-drama
Bachelor of Cyber Security,Undergraduate,,"Secure your digital future through exploration of best practice in the identification, diagnosis, analysis and management of cyber security challenges.",Deakin University,http://www.deakin.edu.au/course/bachelor-cyber-security
Bachelor of Education (Early Years),Undergraduate,,"As a dual accredited degree, the Bachelor of Education (Early Years) course provides flexible employment options in a variety of early year education settings.",Deakin University,http://www.deakin.edu.au/course/bachelor-education-early-years
Bachelor of Information Technology,Undergraduate,,Choose from a range of creative and technical specialisations to suit your career aspirations and acquire IT skills that are vital to every industry.,Deakin University,http://www.deakin.edu.au/course/bachelor-information-technology
Bachelor of Mechanical Engineering (Honours),Undergraduate,,"Get the design, engineering and entrepreneurial skills required to develop and run the complex mechanical systems, devices and machines of the future.",Deakin University,http://www.deakin.edu.au/course/bachelor-mechanical-engineering-honours
Bachelor of Arts/Bachelor of Science,Undergraduate,,Combine studies in arts and science within the Bachelor of Arts/Bachelor of Science double degree and get a competitive edge in your chosen career.,Deakin University,http://www.deakin.edu.au/course/bachelor-arts-bachelor-science
Bachelor of Communication (Journalism),Undergraduate,,"A Bachelor of Communication (Journalism) prepares you for the changing media climate, providing graduates with skills to work across all news platforms.",Deakin University,http://www.deakin.edu.au/course/bachelor-communication-journalism
Bachelor of Communication (Public Relations),Undergraduate,,Deakin's Bachelor of Communication (Public Relations) will ready you with strategic communication methods to take on the changing media landscape.,Deakin University,http://www.deakin.edu.au/course/bachelor-communication-public-relations
Bachelor of Creative Arts (Photography),Undergraduate,,Unleash your creativity via Deakin's Bachelor of Creative Arts (Photography) and gain technical skills using our state-of-the-art equipment and facilities. All applicants need to submit a portfolio to Deakin. See details in the entry requirements below.,Deakin University,http://www.deakin.edu.au/course/bachelor-creative-arts-photography
